"course_title","url","is_paid","price","num_subscribers","num_reviews","num_lectures","level","content_duration","published_timestamp","subject"
"Trading for everyone - The Independent Investor Course I","trading-for-everyone-the-independent-investor-course","True",120,4133,15,36,"Beginner Level",4,"2015-10-08","Business Finance"
"Get Acquired: Learn From The Head Of Acquisitions For eBay","entrepreneurship-buy-and-sell-your-startup-or-business","True",195,1420,70,29,"All Levels",2.5,"2016-04-28","Business Finance"
"Stock Market investment: Practical Accounting","stock-market-investment-practical-accounting","True",125,1120,6,43,"Beginner Level",3,"2017-01-23","Business Finance"
"How to remove 'Risk from Penny Stocks - Options Trading""","best-penny-stock-options-to-buy-hot-stocks-put-call-stock-options","True",200,668,12,22,"All Levels",1,"2017-02-07","Business Finance"
"Accounting Basics in 66 Minutes (absolutely for beginners)","accounting-through-visual-presentation","True",25,4086,31,14,"All Levels",1.5,"2015-03-08","Business Finance"
"Tax Accounting: Difficult Topic Made Easy to Understand","taxaccounting","True",200,1033,10,29,"All Levels",2,"2017-01-11","Business Finance"
"Analysis of Company Financial Statements","analysis-of-company-financial-statements","True",20,832,34,34,"All Levels",1.5,"2016-12-07","Business Finance"
"Forex Trading Like Banks – Step by Step with Live Examples","forex-trading-like-banks-step-by-step-with-live-examples","True",195,677,45,40,"All Levels",4.5,"2016-12-18","Business Finance"
"Fundamentals of Investing!","investment-basics-lets-invest-series","True",20,3125,54,13,"Beginner Level",2,"2015-08-09","Business Finance"
"Bank Financial Management A Comprehensive Study","bank-financial-management-a-comprehensive-study","True",50,1081,6,21,"All Levels",1.5,"2017-02-10","Business Finance"
"Learn to Trade Forex and Stocks: From Beginner to Advanced","tradeforex","True",200,1645,25,42,"All Levels",2,"2016-09-07","Business Finance"
"Master 'Technical Analysis and Chart reading skills Bundle""","master-technical-analysis-and-chart-reading-skills-bundle","True",120,3348,352,13,"All Levels",3,"2013-02-25","Business Finance"
"Naked Put Options Trade Covered Call & Poor Man Covered Call","naked-put-options-trade-covered-call-poor-man-covered-call","True",200,939,7,19,"All Levels",1.5,"2017-02-10","Business Finance"
